name_latin,name_english,name_cyrillic,gender,flights,date_flight,date_death,flight_fate,notes
Dezik,Dezik,Дезик,Male,1951-07-22,1951-07-22,1951-07-29,Survived,NA
Dezik,Dezik,Дезик,Male,1951-07-29,1951-07-29,1951-07-29,Died,NA
Tsygan,Gypsy,Цыган,Male,1951-07-22,1951-07-22,NA,Survived,Adopted as a pet by Soviet physicist Anatoli Blagonravov
Lisa,Fox,Лиса,Female,1951-07-29,1951-07-29,1951-07-29,Died,NA
Chizhik,Siskin,Чижик,Male,1951-08-15,1951-08-15,1951-08-28,Survived,NA
Chizhik,Siskin,Чижик,Male,1951-08-28,1951-08-28,1951-08-28,Died,NA
Mishka,Little Bear,Мишка,Male,1951-08-15,1951-08-15,1951-08-28,Survived,NA
Mishka,Little Bear,Мишка,Male,1951-08-28,1951-08-28,1951-08-28,Died,NA
Ryzhik,Ginger,Рыжик,Male,1951-08-19,1951-08-19,NA,Survived,NA
Smeliy,Courageous,Смелая,Male,1951-08-19,1951-08-19,NA,Survived,NA
Neputeviy,Scamp,Непутёвый,Male,1951-09-03,1951-09-03,NA,Survived,NA
ZIB,Substitute for Missing Bobik,Замена Исчезнувшему Бобику,Male,1951-09-03,1951-09-03,NA,Survived,"An untrained street dog found running around the barracks, captured after Bobik ran away days before his flight."
Lisa-2,Fox,Лиса,Female,1951-06-26,1951-06-26,1955-02-05,Survived,NA
Lisa-2,Fox,Лиса,Female,1954-07-26,1954-07-26,1955-02-05,Survived,NA
Lisa-2,Fox,Лиса,Female,1955-02-05,1955-02-05,1955-02-05,Died,NA
Ryzhik-2,Ginger,Рыжик,Male,1951-06-26,1951-06-26,1954-07-07,Survived,NA
Ryzhik-2,Ginger,Рыжик,Male,1954-07-07,1954-07-07,1954-07-07,Died,NA
Damka,Little Lady,Дамка,Female,1954-07-02,1954-07-02,NA,Survived,NA
Damka,Little Lady,Дамка,Female,1954-07-07,1954-07-07,NA,Survived,NA
Mishka-2,Little Bear,Мишка,Male,1954-07-02,1954-07-02,1954-07-02,Died,NA
